Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
Judd Foundation,5 Crosby Street,New York,NY,10013,(212) 219-2747,Architecture/Design,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Juggernaut Theatre Co., Inc.",P.O. Box 328,New York,NY,10011,(718) 875-7577,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Juneteenth Festival, Inc.","605 Water Street, Apt. 21B",New York,NY,10002,(212) 964-1904,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Jupiter Symphony of New York, Inc.","155 West 68th Street, Apt. 319",New York,NY,10023,(212) 799-1259,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Jurukan, Inc.",118-17 Union Tpke,Forest Hills,NY,11375,(347) 955-2745,"Multi-Discipl, Perf & Non-Perf",Queens Council District #29,Queens Community Board #6,Queens
"K.S. J.A.M.M. Dance Troupe, Inc.",15 Dunham Place,Brooklyn,NY,11249,(347) 789-4849,Dance,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn
KDNY Incorporated,"132 East 43rd Street, Ste. 118",New York,NY,10017,(646) 529-6412,Dance,Manhattan Council District #4,Manhattan Community Board #5,Manhattan
KRVC Development Corporation,505 West 236th Street,New York,NY,10463,(718) 543-7100,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #8,Bronx
"KW Projects, Inc.","145 17th Street, #2",Brooklyn,NY,11215,(646) 330-7609,Dance,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
Kalavant Center for Music and Dance,"326 East 11th Street, Ste. 2",New York,NY,10003,(212) 475-2348,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Kathak Ensemble & Friends Caravan, Inc.","141 East 3rd Street, Apt. 12-H",New York,NY,10009,(212) 673-1282,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Kathryn Posin Dance Foundation,20 Bond Street,New York,NY,10012,(212) 777-1515,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Keen Theater Company, Inc.","520 8th Avenue, Ste. 328",New York,NY,10018,(212) 216-0963,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Keep Empowering Youth Achievement,PO Box 340 111,Jamaica,NY,11413,(347) 529-9270,Dance,Queens Council District #27,Queens Community Board #12,Queens
"Keep Rising to the Top, Inc.","119 East 102 Street, Apt. 5B",New York,NY,10029,(212) 410-9426,Dance,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Kehila Kedosha Janina Synagogue and Museum,280 Broome Street,New York,NY,10002,(212) 431-1619,Museum,Manhattan Council District #1,,Manhattan
"Keigwin and Company, Inc.","246 West 38th Street, Eighth Floor",New York,NY,10018,(212) 278-0691,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Kenkeleba House, New York",214 East Second Street,New York,NY,10009,(212) 674-3939,Visual Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Kentler International Drawing Space, Inc.",353 Van Brunt Street,Brooklyn,NY,11231,(718) 875-2098,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"Kerri Edge Children's Dance Ensemble, Inc.",193-19 Nashville Boulevard,Springfield Gardens,NY,11413,(718) 527-2011,Dance,Queens Council District #31,Queens Community Board #13,Queens
"Keys to the Future Festival, Inc.","200 West 20th Street, Ste. 502",New York,NY,10011,(212) 242-2691,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Kids Creative 404, Inc.",71 Fifth Avenue,New York,NY,10003,(646) 485-5123,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Kinding Sindaw Melayu Heritage,"47 East Great Jones Street, 3rd Floor",New York,NY,10012,(917) 710-2335,Folk Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"King Manor Association of Long Island, Inc.","90-04 161 Street, Ste. 704",Jamaica,NY,11432,(718) 206-0545,Museum,Queens Council District #24,Queens Community Board #12,Queens
"Kings Bay YM-YWHA, Inc.",3495 Nostrand Avenue,Brooklyn,NY,11229,(718) 648-7703,"Multi-Discipline, Performing",Brooklyn Council District #45,Brooklyn Community Board #15,Brooklyn
"Kings County Shakespeare Company, Inc.","138 South Oxford Street, #1C",Brooklyn,NY,11217,(718) 398-2546,Theater,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Kings Majestic Corporation,1000 Dean Street Suite 232,Brooklyn,NY,11238,(718) 304-1048,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Kingsborough Community College Auxiliary Enterprises Corp.,"2001 Oriental Boulevard, #A205",Brooklyn,NY,11235,(718) 368-4539,"Multi-Discipline, Performing",Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn
"Kingsbridge Heights Community Center, Inc.",3101 Kingsbridge Terrace,Bronx,NY,10463,(718) 884-0700 x111,"Multi-Discipline, Non-Perform",Bronx Council District #14,Bronx Community Board #8,Bronx
Knickerbocker Chamber Orchestra,PO Box 838,New York,NY,10272,(212) 267-3102,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Knowledge Project,"111 John Street, Suite 1070",New York,NY,10038,(212) 346-9933,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Korea Society,"950 Third Avenue, 8th Floor",New York,NY,10022,(212) 759-7525,Visual Arts,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
Korean Art Forum,616 West 207th Street,New York,NY,10034,(347) 840-1142,Visual Arts,Manhattan Council District #10,Manhattan Community Board #12,Queens
Korean Community Service of Metropolitan New York,35-56 159th Street,Flushing,NY,11358,(718) 886-8203,Dance,Queens Council District #20,Queens Community Board #7,Queens
"Korean Traditional Marching Band, Inc.",45-19 162 Street,Flushing,NY,11358,(646) 808-7272,Music,Queens Council District #20,Queens Community Board #7,Queens
KowTeff School of African Dance,168 Macon Street,Brooklyn,NY,11216,(718) 789-5870,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #10,Brooklyn
"Kundiman, Inc.",229 W. 109th Street,New York,NY,10025,(347) 693-6506,Literature,Manhattan Council District #8,Manhattan Community Board #8,Manhattan
"Kunqu Society, Inc.",199-36 24th Avenue,Whitestone,NY,11357,(718) 352-0070,Folk Arts,Queens Council District #20,Queens Community Board #7,Bronx
Kupferberg Center Performances,65-30 Kissena Boulevard,Flushing,NY,11367,(718) 997-2785,"Multi-Discipline, Performing",Queens Council District #24,Queens Community Board #8,Queens
"Kweli Journal, Inc.","334 East 73rd Street, 5C",New York,NY,10021,(646) 709-7026,Literature,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Kyo-Shin-An Arts, Inc.",44 Prospect Park West #C6,Brooklyn,NY,11215,(718) 832-5435,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Manhattan
"L'Opera Francais de New York, Inc.",PO Box 33,New York,NY,10185,(212) 632-5565,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"LAByrinth, Inc.",155 Bank Street,New York,NY,10014,(212) 513-1018,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
LEA,"341 Wadsworth Avenue, Suite B",New York,NY,10040,(212) 543-0682,"Multi-Discipline, Non-Perform",Manhattan Council District #10,Manhattan Community Board #12,Manhattan
LEMUR,461 Third Avenue,Brooklyn,NY,11215,(212) 431-1130 x12,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"La Asociacion Benefica Cultural Padre Billini, Inc.",25-28 89th Street,Jackson Heights,NY,11369,(718) 651-8427,Dance,Queens Council District #24,Queens Community Board #3,Queens
La Casa de la Herencia Cultural Puertorriquena,"1230 Fifth Avenue, Ste. 458",New York,NY,10029,(212) 722-2600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"La Compagnia de' Colombari, Inc.","P.O. Box 17, Village Station",New York,NY,10014,(877) 672-4954,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"La Donna Dance, Inc.","140 Second Avenue, Ste. 501",New York,NY,10003,(212) 982-1227,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"La Mama Experimental Theater Club, Inc.",74A East 4th Street,New York,NY,10003,(212) 254-6468,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"La Troupe Makandal, Inc.","621 Rutland Road, Apt. 4C",Brooklyn,NY,11203,(718) 953-6638,"Multi-Discipline, Performing",Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn
LaGuardia Performing Arts Center,"31-10 Thomson Avenue, Room E413",Long Island City,NY,11101,(718) 482-5301,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #1,Queens
LaGuardia and Wagner Archives,31-10 Thomson Avenue,Long Island City,NY,11101,(718) 482-5301,Humanities,Queens Council District #26,Queens Community Board #2,Queens
"LaMicro Theater, Inc.",P.O. Box 20019,New York,NY,10011,(212) 929-0332,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Landmark West, Inc.",45 West 67th Street,New York,NY,10023,(212) 496-8110,Architecture/Design,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Lark Theatre Company,311 West 43rd Street,New York,NY,10036,(212) 246-2676 x23,Theater,Manhattan Council District #6,Manhattan Community Board #4,Manhattan
"Latin American Cultural Center of Queens, Inc.","120-55 Queens Boulevard, Room 333",Kew Gardens,NY,11424,(718) 261-7664,"Multi-Discipline, Performing",Queens Council District #24,Queens Community Board #3,Queens
Latin American Theater Experiment & Associates,P.O. Box 20673,New York,NY,10701,(212) 529-1948,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Latin American Theatre Ensemble Inc.,"350 West 51st Street,  Apt. 13-D",New York,NY,10019,(212) 397-3262,Theater,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Latino International Theater Festival of New York, Inc.","142 East 27th Street, Ste. 1A",New York,NY,10016,(212) 695-4010,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Latsky Dance, Inc.","400 West 43rd Street, #21S",New York,NY,10036,(212) 679-7399,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Laundromat Project, Inc.",127 West 127th Street,New York,NY,10027,(718) 574-0798,Visual Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Laurie Foundation for the Performing Arts, Inc.",547 West 26th Street,New York,NY,10001,(212) 244-0015,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"League of American Theatres and Producers, Inc.","226 West 47th Street, 6th floor",New York,NY,10036,(212) 703-0222,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
League of Composers,34-29 80th Street,Jackson Heights,NY,11372,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
League of Professional Theatre Women,520 8th Avenue,New York,NY,10018,(888) 297-3117,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
League of Professional Theatre Women,P.O. Box 2292,New York,NY,10108,(212) 362-3204,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Learning Leaders, Inc.","80 Maiden Lane, 11th Floor",New York,NY,10038,(212) 213-3370 x530,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Learning Through an Expanded Arts Program, Inc.","441 West End Avenue, #2G",New York,NY,10024,(212) 769-4160 x7,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Legacy Center,P.O. Box 690136,Bronx,NY,10469,(917) 634-9200,"Multi-Discipline, Performing",Bronx Council District #18,Bronx Community Board #9,Bronx
"Legros Cultural Arts, Inc.",146-28 225 Street,Rosedale,NY,11413,(917) 741-2992,"Multi-Discipl, Perf & Non-Perf",Queens Council District #31,Queens Community Board #13,Manhattan
Lehman College Art Gallery,250 Bedford Park Boulevard West,Bronx,NY,10468,(718) 960-8731,Visual Arts,Bronx Council District #11,Bronx Community Board #7,Bronx
"Lehman College Center for the Performing Arts, Inc.",250 Bedford Park Boulevard West,Bronx,NY,10468,(718) 960-8490,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #7,Bronx
"Les Ballets Trockadero de Monte Carlo, Inc.",Box 1325 Gracie Station,New York,NY,10028,(202) 251-4176,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
Lesbian & Gay Big Apple Corps,332 Bleecker Street,New York,NY,10014,(212) 591-2886,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Lesbian and Gay Community Services Center, Inc.",208 West 13th Street,New York,NY,10011,(212) 620-7310 x244,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"NW&D, Inc.",c/o The Field,New York,NY,10013,(212) 645-6462,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Leslie-Lohman Museum of Gay and Lesbian Art,26 Wooster Street,New York,NY,10013,(212) 431-2609,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Letter of Marque Theater, Incorporated", 172 5th Ave No. 191,Brooklyn,NY,11217,(718) 246-2411,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Lewis Howard Latimer Fund, Inc.",34-41 137th Street,Flushing,NY,11354,(718) 961-8585,Museum,Queens Council District #25,Queens Community Board #7,Queens
"Liberata Dance Theatre, Inc.","440 West 34th Street, Apt. 13G",New York,NY,10001,(212) 971-6054,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Liberated Movement, Inc.",87-09 34th Ave,Jackson Heights,NY,11372,(646) 244-7889,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Liberian Cultural Association, Inc.",361 Van Duzer Street,New York,NY,10304,(347) 893-3393,"Multi-Discipline, Performing",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Library Action Committee of Corona-East Elmhurst, Inc.",100-01 Northern Boulevard,Corona,NY,11368,(718) 651-1100,"Multi-Discipline, Performing",Queens Council District #21,Queens Community Board #3,Queens
"Life Through Dance, Inc.","345 Riverside Drive, Apt. 5A",New York,NY,10025,(646) 250-1847,Dance,Manhattan Council District #9,Bronx Community Board #7,Manhattan
"Light & Love Productions, Inc.","8915 Parsons Boulevard, Ste. 9L",Jamaica,NY,11432,(347) 806-0344,Film/Video/Audio,Queens Council District #24,Queens Community Board #12,Queens
"Light Industry Cinema Projects, Ltd.",155 Freeman Street,Brooklyn,NY,11222,(646) 420-0359,Film/Video/Audio,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
"Light Opera of New York, Inc.",Light Opera of New York,New York,NY,10001,(610) 613-4793,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Lighthouse International,15 West 65th Street,New York,NY,10022,(212) 821-9374,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Lincoln Center for the Performing Arts, Inc.",165 West 65th Street,New York,NY,10023,(212) 875-5000,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Lincoln Square District Management Association, Inc.","1841 Broadway, Ste. 1112",New York,NY,10023,(212) 581-3774,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Lindsay's Theatre,"161 Sixth Avenue, 14th Floor",New York,NY,10013,(212) 691-6969,Theater,,Manhattan Community Board #2,Manhattan
Literary Arts & Film Foundation Inc.,"608 West 135th Street, Suite 5a",New York,NY,10031,(212) 283-4738,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Little Orchestra Society/Orpheon, Inc.","330 West 42nd Street, 12th Floor",New York,NY,10036,(212) 971-9500 x119,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Living Arts Productions,731 West 183rd Street #3-l,New York,NY,10033,(914) 961-8822,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Living Image Arts, Inc.",1072 Lorimer Street,Brooklyn,NY,11222,(718) 389-2151,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Living Room for Artists, Inc.",PO Box 778,New York,NY,10108,(212) 279-4040,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Living Theatre, Inc.",21 Clinton Street,New York,NY,10002,(212) 397-9307,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Living Traditions, Inc.","207 West 25th Street, 4th Floor",New York,NY,10001,(212) 532-8202,Folk Arts,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Local 802 Senior Musicians Association,322 West 48th Street,New York,NY,10036,(212) 245-4802 x228,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan
Local Project,11-27 44th Road,New York,NY,11101,(646) 298-0969,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens
"Location One, Inc.",26 Greene Street,New York,NY,10013,(212) 334-3347,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Loco-Motion Dance Theatre for Children, Inc.",112 St. Marks Place #2,Brooklyn,NY,11217,(212) 995-9027,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Lodyjensky Immigration Archive Center of Russian & Ukrainian Culture, Inc.","1679 East 3 street, Apt 601",Brooklyn,NY,11230,(718) 594-4800,"Multi-Discipline, Non-Perform",Brooklyn Council District #44,Brooklyn Community Board #12,Brooklyn
"Loisaida, Inc.",300 E 175th Street,Bronx,NY,10457,(646) 757-0522,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"LonGar Ebony Ensemble, Ltd.",119 West 119th Street,New York,NY,10026,(212) 749-5500 x2128655522,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Long Island City Cultural Alliance,P. O. Box 1858,Long Island City,NY,11101,(917) 558-4800,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,,Queens
Long Island String Quartet,1434 155th Street,Whitestone,NY,11357,(631) 421-4635,Music,Queens Council District #19,Queens Community Board #11,Queens
"Look & Listen, Inc.",34-29 80th Street,Jackson Heights,NY,11372,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Looking Glass Productions of New York, Inc.","812 Broadway, 3rd Floor",New York,NY,10003,(212) 420-9208,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Looking Glass Theatre, Inc.",422 West 57th Street,New York,NY,10019,(212) 307-9467,Theater,Manhattan Council District #6,Manhattan Community Board #5,Manhattan
"Los Pleneros de la 21, Inc.",1680 Lexington Avenue,New York,NY,10029,(212) 427-5221,Folk Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Lotus Fine Arts Productions, Inc.",336 West 37th Street,New York,NY,10018,(212) 627-1076 x14,Folk Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Louis Armstrong House,34-56 107th Street,Corona,NY,11368,(718) 997-3920,Museum,Queens Council District #21,Queens Community Board #3,Queens
"Love Fellowship Tabernacle, Inc.",464 Liberty Avenue,Brooklyn,NY,11207,(718) 235-2266,"Multi-Discipline, Performing",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"Lower East Side Community Music Workshop, Inc.","95 Avenue B, 1st floor",New York,NY,10009,(212) 353-1843,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Lower East Side Conservancy,235 East Broadway,New York,NY,10002,(212) 233-6037,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Lower East Side District Management Association,54 Orchard Street,New York,NY,10002,(212) 226-9010,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Lower East Side Girls Club,101 Avenue D,New York,NY,10009,(212) 982-1633 x104,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Lower East Side Performing Arts, Inc.",268 East Broadway,New York,NY,10002,(212) 388-0202,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Lower East Side Printshop, Inc.","306 West 37th Street, 6th floor",New York,NY,10018,(212) 673-5390 x14,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Lower East Side Tenement Museum,91 Orchard Street,New York,NY,10002,(212) 431-0233 x222,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Lower Manhattan Cultural Council,"125 Maiden Lane, 2nd floor",New York,NY,10038,(212) 219-9401 x103,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Lubovitch Dance Foundation, Inc.","229 West 42nd Street, 8th Floor",New York,NY,10036,(212) 221-7909,Dance,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Lyric Chamber Music Society of New York, Inc.","20 West 64th Street, Apt. 27H",New York,NY,10023,(212) 496-9927,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"MA-YI Filipino Theatre Ensemble, Inc.","520 Eighth Avenue, Suite #309",New York,NY,10018,(212) 971-4862,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"MAC Creations P.O.P. Arts, Inc.",PO Box 1234,Bronx,NY,10462,(718) 512-5042,Film/Video/Audio,Bronx Council District #18,Bronx Community Board #9,Bronx
"MAPP International Productions, Inc.",140 Second Avenue,New York,NY,10003,(646) 602-9390,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"MUSE Film and Television, Inc.","1 East 53rd Street, 10th Floor",New York,NY,10022,(212) 688-8280,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Mabou Mines Development Foundation, Inc.",Peter Stuyvesant Station,New York,NY,10009,(212) 473-0559,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Madison Square Park Conservancy,11 Madison Avenue,New York,NY,10010,(212) 538-7150,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Mafata Dance Company, Inc.",301 Admiral Lane,Bronx,NY,10473,(718) 518-8099,Dance,Bronx Council District #18,Bronx Community Board #2,Bronx
"Martin Luther King, Jr. Concert Series, Inc.","32 Court Street, Ste. 607",Brooklyn,NY,11201,(212) 297-4888,Music,Brooklyn Council District #36,Brooklyn Community Board #9,Brooklyn
"Magic Box Productions, Inc.","320 Central Park West, Apt. 19B",New York,NY,10025,(718) 809-7405,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #6,Manhattan
Magnum Foundation,547 W. 27th Street,New York,NY,10001,(212) 219-1248,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Maimouna Keita School of African Dance, Inc.",P.O. Box 470972,Brooklyn,NY,11247,(718) 455-1406,Folk Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
Major Music International Corporation,114-04 Farmers Boulevard,Saint Albans,NY,11412,(917) 865-9376,"Multi-Discipline, Performing",Queens Council District #27,Queens Community Board #12,Queens
"Makam New York, Inc.",1800 7th Ave #7C,New York,NY,10026,(646) 522-9285,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Make Music New York, Inc.",419 Lafayette Street,New York,NY,10003,(917) 779-9709,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Make the Road New York,301 Grove Street,Brooklyn,NY,11237,(718) 418-7690,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn
"Making Books Sing, Inc.",340 East 46th Street,New York,NY,10017,(212) 573-8791 x240,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Mama Foundation for the Arts, Inc.",149 West 126th Street,New York,NY,10027,(212) 280-1045,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Man Up! Inc.,797/799 Van Siclen Avenue,Brooklyn,NY,11207,(718) 498-2320,Other,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"Manhattan Art Program, Inc.","800 6th avenue, suite 11C",New York,NY,10010,(212) 686-2202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Manhattan Choral Ensemble,P.O. Box 3852,New York,NY,10163,(917) 586-7593,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan
"Manhattan Class Company, Inc.",231 West 29th Street,New York,NY,10001,(212) 727-7722 x239,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Manhattan Community Access Corporation,537 West 59th Street,New York,NY,10019,(212) 757-2670 x324,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Manhattan Graphics Center,250 West 40th Street,New York,NY,10018,(212) 219-8783,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Manhattan New Music Project, Inc.",243 West 30th Street,New York,NY,10001,(212) 977-1070,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Manhattan School of Music,120 Claremont Avenue,New York,NY,10027,(917) 749-4433,Music,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Manhattan Sprout, Inc.",270 West 96th Street,New York,NY,10025,(212) 222-9575,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
"Manhattan Theatre Club, Inc.","311 West 43rd Street, Eighth Floor",New York,NY,10036,(212) 399-3000 x4124,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Manhattan Theatre Source Incorporated,177 MacDougal Street,New York,NY,10011,(212) 260-4698,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Manna House Workshops, Inc.",338 East 106th Street,New York,NY,10029,(212) 722-8223,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Mano a Mano: Mexican Culture Without Borders,126 St. Felix Street,Brooklyn,NY,11217-1423,(212) 587-3070,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Mare Nostrum Elements, Inc.","39-48 64th Street, 2nd Floor",Woodside,NY,11377,(718) 545-6665,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens
Marie-Christine Giordano Dance Company,"220 25th Street, Ste. 202",Brooklyn,NY,11232,(718) 369-6459,Dance,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
"Marilyn Horne Foundation, Inc.","250 West 57th Street, Ste. 603",New York,NY,10107,(212) 582-2000,Music,Manhattan Council District #6,Manhattan Community Board #5,Manhattan
Marine Park Community Association,3221 Avenue S,Brooklyn,NY,11234,(718) 382-1657,"Multi-Discipline, Non-Perform",Brooklyn Council District #46,Brooklyn Community Board #18,Brooklyn
"Marquis Studios, Ltd.",45 Main Street,Brooklyn,NY,11201,(718) 694-9400,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Martha Graham Center of Contemporary Dance, Inc.",55 Bethune Street,New York,NY,10014,(917) 553-5984,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Martina Arroyo Foundation, Inc.","200 Central Park South, Apt. 20-I",New York,NY,10019,(212) 397-7256,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan
Mary Miss / City as Living Laboratory,"349 Greenwich Street, #5",New York,NY,10013,(212) 966-4287,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Maspeth Town Hall, Inc.",53-37 72nd Street,Maspeth,NY,11378,(718) 335-6049,"Multi-Discipline, Non-Perform",Queens Council District #30,Queens Community Board #5,Queens
